Ano-Período,Componente,Tipo,Situação,Horário,Vagas
2018-2,"IMD0261 - TÓPICOS ESPECIAIS EM BIOINFORMÁTICA ""B""",Turma Regular,Removida,35T12 (30/07/2018 - 22/12/2018),1
2018-2,"IMD0261 - TÓPICOS ESPECIAIS EM BIOINFORMÁTICA ""B""",Turma Regular,Atendida,35M56 (30/07/2018 - 22/12/2018),1
2018-2,IMD0321 - PROJETOS BASEADOS EM MICROCONTROLADORES,Turma Regular,Removida,24N34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0321 - PROJETOS BASEADOS EM MICROCONTROLADORES,Turma Regular,Removida,35N12 (30/07/2018 - 22/12/2018),1
2018-2,IMD0401 - BANCO DE DADOS,Turma Regular,Atendida,24N12 (30/07/2018 - 22/12/2018),10
2018-2,IMD0404 - DESENVOLVIMENTO DE SISTEMAS WEB I,Turma Regular,Atendida,35N12 (30/07/2018 - 22/12/2018),5
2018-2,IMD0407 - DESIGN DE SOFTWARE II,Turma Regular,Atendida,24N12 (30/07/2018 - 22/12/2018),5
2018-2,IMD0411 - INTRODUÇÃO À GOVERNANÇA E GESTÃO DE TI,Turma Regular,Atendida,24N12 (30/07/2018 - 22/12/2018),5
2018-2,IMD0412 - INTRODUÇÃO AO TESTE DE SOFTWARE,Turma Regular,Atendida,35N34 (30/07/2018 - 22/12/2018),5
2018-2,IMD0511 - INTELIGÊNCIA ARTIFICIAL APLICADA À EDUCAÇÃO,Turma Regular,Atendida,35T56 (30/07/2018 - 22/12/2018),5
2018-2,IMD0512 - AVALIAÇÃO DA INTERAÇÃO HUMANO-COMPUTADOR,Turma Regular,Atendida,24N34 (30/07/2018 - 22/12/2018),5
2018-2,IMD0513 - EMPREENDEDORISMO,Turma Regular,Atendida,24T56 (30/07/2018 - 22/12/2018),10
2018-2,IMD0522 - JOGOS DIGITAIS COMO FERRAMENTA PEDAGÓGICA,Turma Regular,Atendida,24T56 (30/07/2018 - 22/12/2018),6
2018-2,IMD0523 - TECNOLOGIAS EDUCACIONAIS,Turma Regular,Atendida,24T56 (30/07/2018 - 22/12/2018),3
2018-2,IMD0530 - SOFTWARE LIVRE  EDUCAÇÃO E CULTURA,Turma Regular,Atendida,24N34 (30/07/2018 - 22/12/2018),3
2018-2,IMD0531 - PRÁTICAS EDUCACIONAIS INOVADORAS COM TECNOLOGIAS DIGITAIS,Turma Regular,Atendida,35N34 (30/07/2018 - 22/12/2018),3
2018-2,IMD0602 - FERRAMENTAS PARA ANÁLISE DE SEQUÊNCIAS,Turma Regular,Atendida,35T56 (30/07/2018 - 22/12/2018),1
2018-2,IMD0605 - SEMINÁRIOS EM BIOINFORMÁTICA,Turma Regular,Atendida,4M56 (30/07/2018 - 22/12/2018),1
2018-2,IMD0702 - SERVIÇOS DE REDE E TRANSPORTE,Turma Regular,Atendida,35N34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0703 - SEGURANÇA DE REDES,Turma Regular,Atendida,35N12 (30/07/2018 - 22/12/2018),1
2018-2,IMD0704 - ADMINISTRAÇÃO DE SERVIÇOS DE REDES PARA INTERNET,Turma Regular,Atendida,35N12 (30/07/2018 - 22/12/2018),1
2018-2,IMD0801 - MECÂNICAS E BALANCEAMENTO DE JOGOS,Turma Regular,Atendida,3M3456 (30/07/2018 - 22/12/2018),1
2018-2,IMD0801 - MECÂNICAS E BALANCEAMENTO DE JOGOS,Turma Regular,Removida,24T12 (30/07/2018 - 22/12/2018),1
2018-2,IMD0803 - JOGOS SÉRIOS E SIMULAÇÕES,Turma Regular,Atendida,35T34 (30/07/2018 - 22/12/2018),1
2018-2,IMD0821 - TÉCNICAS AVANÇADAS PARA MOTORES DE JOGOS DIGITAIS,Turma Regular,Atendida,35T12 (30/07/2018 - 22/12/2018),1
2018-2,IMD0905 - CIÊNCIA DE DADOS I,Turma Regular,Atendida,24T12 (30/07/2018 - 22/12/2018),1
2018-2,IMD1001 - MATEMÁTICA ELEMENTAR,Turma Regular,Atendida,35T12 (30/07/2018 - 22/12/2018),1
2018-2,IMD1001 - MATEMÁTICA ELEMENTAR,Turma Regular,Atendida,24N34 (30/07/2018 - 22/12/2018),1
2018-2,IMD1002 - ANÁLISE COMBINATÓRIA,Turma Regular,Atendida,2T34 (30/07/2018 - 22/12/2018),1
2018-2,IMD1002 - ANÁLISE COMBINATÓRIA,Turma Regular,Atendida,5N34 (30/07/2018 - 22/12/2018),1
2018-2,IMD1003 - GEOMETRIA EUCLIDIANA,Turma Regular,Atendida,3N34 (30/07/2018 - 22/12/2018),1
2018-2,IMD1003 - GEOMETRIA EUCLIDIANA,Turma Regular,Atendida,4T34 (30/07/2018 - 22/12/2018),1
2018-2,IMD1004 - PENSAMENTO COMPUTACIONAL,Turma Regular,Atendida,24N12 (30/07/2018 - 22/12/2018),1
2018-2,IMD1004 - PENSAMENTO COMPUTACIONAL,Turma Regular,Atendida,24T56 (30/07/2018 - 22/12/2018),1
2018-2,MAT0309 - ALGEBRA LINEAR PARA COMPUTAÇÃO,Turma Regular,Removida,24M56,10
2018-2,MAT0312 - MATEMATICA PARA ENGENHARIA II,Turma Regular,Removida,246M12,10
